Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
jetplane.pgm,512,512,2.5,30,100,37.106495,1.457696,25.45
jetplane.pgm,512,512,2.5,30,120,31.120096,1.446656,21.51
jetplane.pgm,512,512,2.5,50,80,30.709921,1.454880,21.10
jetplane.pgm,512,512,2.5,50,100,37.504894,1.460800,25.67
jetplane.pgm,512,512,2.5,50,120,31.169600,1.432704,21.75
jetplane.pgm,512,512,2.5,70,80,31.171968,1.433184,21.75
jetplane.pgm,512,512,2.5,70,100,30.062271,1.421728,21.14
jetplane.pgm,512,512,2.5,70,120,30.774273,1.441344,21.35
lake.pgm,512,512,0.5,30,80,37.213730,1.566368,23.75
lake.pgm,512,512,0.5,30,100,36.809887,1.433376,25.68
lake.pgm,512,512,0.5,30,120,31.237728,1.430304,21.83
lake.pgm,512,512,0.5,50,80,29.882561,1.407936,21.22
lake.pgm,512,512,0.5,50,100,30.906273,1.472544,20.98
lake.pgm,512,512,0.5,50,120,31.117121,1.457408,21.35
lake.pgm,512,512,0.5,70,80,29.653313,1.439296,20.60
lake.pgm,512,512,0.5,70,100,30.897280,1.431424,21.58
lake.pgm,512,512,0.5,70,120,30.926464,1.430016,21.62
lake.pgm,512,512,1.0,30,80,30.116512,1.444896,20.84
lake.pgm,512,512,1.0,30,100,38.235329,1.494624,25.58
lake.pgm,512,512,1.0,30,120,29.892609,1.425568,20.96
lake.pgm,512,512,1.0,50,80,31.071424,1.443712,21.52
lake.pgm,512,512,1.0,50,100,30.970720,1.422848,21.76
lake.pgm,512,512,1.0,50,120,30.960096,1.434656,21.58
lake.pgm,512,512,1.0,70,80,31.099745,1.456576,21.35
lake.pgm,512,512,1.0,70,100,31.191616,1.424288,21.89
lake.pgm,512,512,1.0,70,120,31.074177,1.553728,19.99
lake.pgm,512,512,1.5,30,80,31.365856,1.435072,21.85
lake.pgm,512,512,1.5,30,100,29.794624,1.428096,20.86
lake.pgm,512,512,1.5,30,120,29.747393,1.414176,21.03
lake.pgm,512,512,1.5,50,80,30.918177,1.423072,21.72
lake.pgm,512,512,1.5,50,100,31.174273,1.448256,21.52
lake.pgm,512,512,1.5,50,120,29.810240,1.417952,21.02
lake.pgm,512,512,1.5,70,80,29.555967,1.432000,20.63
lake.pgm,512,512,1.5,70,100,30.920959,1.427616,21.65
lake.pgm,512,512,1.5,70,120,30.057407,1.441568,20.85
lake.pgm,512,512,2.0,30,80,31.034369,1.433984,21.64
lake.pgm,512,512,2.0,30,100,29.694817,1.410368,21.05
lake.pgm,512,512,2.0,30,120,29.930847,1.438016,20.81
lake.pgm,512,512,2.0,50,80,31.274431,1.455008,21.49
lake.pgm,512,512,2.0,50,100,30.894272,1.434560,21.53
lake.pgm,512,512,2.0,50,120,29.776768,1.437120,20.71
lake.pgm,512,512,2.0,70,80,31.107489,1.453344,21.40
lake.pgm,512,512,2.0,70,100,31.181631,1.451392,21.48
lake.pgm,512,512,2.0,70,120,30.300961,1.426784,21.23
lake.pgm,512,512,2.5,30,80,37.900959,1.433120,26.44
lake.pgm,512,512,2.5,30,100,38.442142,1.455072,26.41
lake.pgm,512,512,2.5,30,120,29.988705,1.424736,21.04
lake.pgm,512,512,2.5,50,80,30.915903,1.456704,21.22
lake.pgm,512,512,2.5,50,100,37.019711,1.438784,25.72
lake.pgm,512,512,2.5,50,120,29.736609,1.427744,20.82
lake.pgm,512,512,2.5,70,80,31.055136,1.443936,21.50
lake.pgm,512,512,2.5,70,100,30.206753,1.439072,20.99
lake.pgm,512,512,2.5,70,120,29.770271,1.456000,20.44
livingroom.pgm,512,512,0.5,30,80,30.904287,1.432352,21.57
livingroom.pgm,512,512,0.5,30,100,30.008480,1.445792,20.75
livingroom.pgm,512,512,0.5,30,120,29.844320,1.420512,21.00
livingroom.pgm,512,512,0.5,50,80,31.172768,1.441088,21.63
livingroom.pgm,512,512,0.5,50,100,31.032064,1.461472,21.23
livingroom.pgm,512,512,0.5,50,120,31.288736,1.469536,21.29
livingroom.pgm,512,512,0.5,70,80,29.696480,1.452000,20.45
livingroom.pgm,512,512,0.5,70,100,34.728577,1.442528,24.07
livingroom.pgm,512,512,0.5,70,120,29.767424,1.410016,21.11
livingroom.pgm,512,512,1.0,30,80,30.961472,1.431168,21.63
livingroom.pgm,512,512,1.0,30,100,36.523006,1.498016,24.38
livingroom.pgm,512,512,1.0,30,120,29.773600,1.446560,20.58
livingroom.pgm,512,512,1.0,50,80,38.264481,1.433536,26.69
livingroom.pgm,512,512,1.0,50,100,30.018208,1.443872,20.79
livingroom.pgm,512,512,1.0,50,120,31.333471,1.451488,21.58
livingroom.pgm,512,512,1.0,70,80,30.261951,1.435072,21.08
livingroom.pgm,512,512,1.0,70,100,31.072960,1.455488,21.34
livingroom.pgm,512,512,1.0,70,120,31.310944,1.448896,21.61
livingroom.pgm,512,512,1.5,30,80,31.366144,1.434048,21.87
livingroom.pgm,512,512,1.5,30,100,37.108097,1.442112,25.73
livingroom.pgm,512,512,1.5,30,120,30.172159,1.450848,20.79
livingroom.pgm,512,512,1.5,50,80,30.998049,1.455488,21.29
livingroom.pgm,512,512,1.5,50,100,30.317921,1.431040,21.18
livingroom.pgm,512,512,1.5,50,120,37.770206,1.469440,25.70
livingroom.pgm,512,512,1.5,70,80,31.142817,1.455136,21.40
livingroom.pgm,512,512,1.5,70,100,29.936417,1.429376,20.94
livingroom.pgm,512,512,1.5,70,120,29.706688,1.423072,20.87
livingroom.pgm,512,512,2.0,30,80,31.004320,1.469280,21.10
livingroom.pgm,512,512,2.0,30,100,31.136065,1.436992,21.66
livingroom.pgm,512,512,2.0,30,120,29.913889,1.432896,20.87
livingroom.pgm,512,512,2.0,50,80,29.648001,1.424672,20.81
livingroom.pgm,512,512,2.0,50,100,29.559711,1.453248,20.34
livingroom.pgm,512,512,2.0,50,120,31.196159,1.473696,21.16
livingroom.pgm,512,512,2.0,70,80,30.925056,1.429184,21.63
livingroom.pgm,512,512,2.0,70,100,29.556929,1.411168,20.94
livingroom.pgm,512,512,2.0,70,120,30.814144,1.430624,21.53
livingroom.pgm,512,512,2.5,30,80,38.771553,1.477504,26.24
livingroom.pgm,512,512,2.5,30,100,29.760000,1.412320,21.07
livingroom.pgm,512,512,2.5,30,120,31.050367,1.448416,21.43
livingroom.pgm,512,512,2.5,50,80,30.978880,1.426912,21.71
livingroom.pgm,512,512,2.5,50,100,31.094240,1.460032,21.29
livingroom.pgm,512,512,2.5,50,120,36.923264,1.555744,23.73
livingroom.pgm,512,512,2.5,70,80,30.999136,1.437696,21.56
livingroom.pgm,512,512,2.5,70,100,37.666592,1.450912,25.96
livingroom.pgm,512,512,2.5,70,120,31.082848,1.454592,21.36
mandril.pgm,512,512,0.5,30,80,37.986305,1.478016,25.70
mandril.pgm,512,512,0.5,30,100,31.146944,1.415808,21.99
mandril.pgm,512,512,0.5,30,120,29.864033,1.416320,21.08
