Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
jetplane.pgm,512,512,2.5,30,100,30.925344,1.449792,21.33
jetplane.pgm,512,512,2.5,30,120,37.098209,1.441216,25.74
jetplane.pgm,512,512,2.5,50,80,31.009665,1.451424,21.36
jetplane.pgm,512,512,2.5,50,100,30.141151,1.446976,20.83
jetplane.pgm,512,512,2.5,50,120,29.977057,1.435520,20.88
jetplane.pgm,512,512,2.5,70,80,30.740641,1.442976,21.30
jetplane.pgm,512,512,2.5,70,100,29.886463,1.433216,20.85
jetplane.pgm,512,512,2.5,70,120,30.667233,1.435904,21.35
lake.pgm,512,512,0.5,30,80,30.977505,1.456000,21.27
lake.pgm,512,512,0.5,30,100,29.925953,1.408352,21.24
lake.pgm,512,512,0.5,30,120,37.066528,1.449472,25.57
lake.pgm,512,512,0.5,50,80,29.931488,1.422208,21.04
lake.pgm,512,512,0.5,50,100,29.868353,1.441920,20.71
lake.pgm,512,512,0.5,50,120,31.300575,1.443936,21.67
lake.pgm,512,512,0.5,70,80,29.797760,1.410624,21.12
lake.pgm,512,512,0.5,70,100,29.785984,1.434848,20.75
lake.pgm,512,512,0.5,70,120,30.866079,1.420096,21.73
lake.pgm,512,512,1.0,30,80,30.899136,1.445728,21.37
lake.pgm,512,512,1.0,30,100,30.896576,1.443104,21.40
lake.pgm,512,512,1.0,30,120,29.760384,1.442400,20.63
lake.pgm,512,512,1.0,50,80,29.847904,1.412288,21.13
lake.pgm,512,512,1.0,50,100,37.146431,1.457440,25.48
lake.pgm,512,512,1.0,50,120,31.029600,1.442144,21.51
lake.pgm,512,512,1.0,70,80,29.642912,1.437728,20.61
lake.pgm,512,512,1.0,70,100,29.657345,1.443328,20.54
lake.pgm,512,512,1.0,70,120,29.697056,1.429440,20.77
lake.pgm,512,512,1.5,30,80,30.915648,1.440416,21.46
lake.pgm,512,512,1.5,30,100,30.958464,1.446336,21.40
lake.pgm,512,512,1.5,30,120,29.707584,1.414208,21.00
lake.pgm,512,512,1.5,50,80,29.881887,1.438400,20.77
lake.pgm,512,512,1.5,50,100,38.097855,1.469664,25.92
lake.pgm,512,512,1.5,50,120,31.205408,1.455072,21.44
lake.pgm,512,512,1.5,70,80,30.951136,1.487968,20.80
